1187,Danang,0,1,DAD,0.00
1192,Curacao,0,6,CUR,0.00
1197,Arica,0,6,ARI,0.00
1202,Humberside,1,3,NULL,0.00
1207,Plymouth,1,3,PLH,0.00
1212,New Orleans,0,3,NULL,0.00
1217,Kigali,0,3,KGL,0.00
1222,Stanstead,1,3,STN,0.00
1227,Bristol,1,3,BRS,0.00
1232,Manchester,1,3,MAN,0.00
1237,Cuenca,0,3,CUE,0.00
1242,Potosi,0,6,POI,0.00
1247,Urgench,0,1,UGC,0.00
1252,Maceio,0,6,NULL,0.00
1257,Edinburgh,1,6,EDI,0.00
1262,Merida,0,6,NULL,0.00
1267,to be advised,0,6,   ,0.00
1272,Florianopolis,0,6,FLN,0.00
1277,Buenos Aries,0,1,AEP,0.00
1282,Sydney,0,1,SYD,0.00
1287,Peshawar,0,1,PEW,0.00
1292,Cardiff,1,3,NULL,0.00
1297,Dubai,0,3,DXB,0.00
1302,Jersey,0,6,JER,0.00
1307,Santa Cruz,0,6,VVI,0.00
1312,Hervey Bay, Aus,0,3,NULL,0.00
1317,Valdivia,0,6,ZAL,0.00
1322,Colombo,0,3,CMB,0.00
1327,Male,0,3,MLE,0.00
1332,Chicago,0,6,ORD,0.00
1337,Kuching,0,1,KCH,0.00
1342,Yerevan,0,1,EVN,0.00
1347,Beirut,0,1,BEY,0.00
1352,Sydney,0,6,SYD,0.00
1357,Makassar,0,1,UPG,0.00
1362,Xian,0,3,SIA,0.00
1367,Boston,0,3,BOS,0.00
1372,Miri,0,1,MYY,0.00
1377,Jujuy,0,6,JUJ,0.00
1382,Rome,0,1,FCO,0.00
1387,Curitiba,0,6,CWB,0.00
1392,Urumqi,0,1,URC,0.00
1397,Addis Ababa,0,2,ABB,0.00
1402,Trelew,0,6,REL,0.00
1407,Porto Seguro,0,6,BPS,0.00
1412,Milan,0,3,LIN,0.00
1417,Vancouver,0,1,YVR,0.00
1422,London City,1,3,LCY,0.00
1427,Campo Grande,0,6,CGR,0.00
1432,Tbilisi,0,1,TBS,0.00
1437,Milan,0,1,LIN,0.00
1442,Comodoro Rivadavia,0,6,NULL,0.00
1447,Houston,0,6,IAH,0.00
1452,Victoria,0,1,NULL,0.00
1457,Paris,0,1,PAR,0.00
1462,Tripoli,0,1,TIP,0.00
1467,Dublin,0,6,DUB,0.00
1472,Dallas,0,6,DFW,0.00
1477,Plettenberg,0,2,NULL,0.00
1482,Antananarivo,0,1,NULL,0.00
1487,Lahore,0,1,LHE,0.00
1492,Mount Pleasant,0,6,NULL,0.00
1497,Oporto,0,6,NULL,0.00
1502,Cardiff,0,6,NULL,0.00
1507,Morro de Sao Paulo,0,6,NULL,0.00
1512,Baku,0,1,BAK,0.00
1517,Antananarivo (Tana),0,3,TNR,0.00
1522,Nosy Be ,0,3,NULL,0.00
1527,Maroantsetra,0,3,WMN,0.00
1532,Teesside,1,6,MME,0.00
1537,Machu Picchu,0,6,NO ,0.00
1542,Cuiaba,0,6,CGB,0.00
1547,Sharm El Sheikh,0,1,SSH,0.00
1552,Luang Prabang,0,1,LPQ,0.00
1557,Paris,0,6,PAR,0.00
1562,,0,3,NULL,0.00
1567,Libreville,0,3,LBV,0.00
1572,Helsinki,0,1,HEL,0.00
1577,Vladivostock,0,1,VVO,0.00
1582,Bonaire,0,6,BON,0.00
1587,Chicago,0,1,ORD,0.00
1592,Bloemfontein,0,2,NULL,0.00
1597,Leeds Bradford,1,2,LBA,0.00
1602,Addis Ababa,0,1,ABB,0.00
1607,Puerto Ayachuco,0,6,PYH,0.00
1612,Niamey,0,1,NULL,0.00
1617,Bahia,0,6,NULL,0.00
1622,Eros,0,2,NULL,0.00
1627,Manzini,0,2,NULL,0.00
1632,Brisbaine,0,2,BNE,0.00
1637,Brisbane,0,2,NULL,0.00
1642,Penang,0,1,PEN,0.00
1647,Bristol,1,2,BRS,0.00
1652,San Jose,0,6,SJO,0.00
1657,Palmar Sur,0,6,NULL,0.00
1662,South Shetland Islands,0,6,NULL,0.00
1667,Norwich,1,2,NWI,0.00
1672,Irkutsk,0,1,IKT,0.00
1677,Nanchang,0,1,KHN,0.00
1682,Bangalore,0,1,BLR,0.00
1687,Auckland,0,6,AKL,0.00
1692,Melbourne,0,6,MEL,0.00
1697,Lencois,0,6,NULL,0.00
1702,Antofagasta,0,6,ANF,0.00
1707,Cairo,0,2,CAI,0.00
1712,Cancun,0,6,CUN,0.00
1717,Orlando ,0,6,MCO,0.00
1722,Bonaire,0,3,BON,0.00
1727,Mexico City,0,6,MEX,0.00
1732,Oaxaca,0,6,NULL,0.00
1737,Tuxtla Gutierrez,0,6,TGZ,0.00
1742,Villa Hermosa,0,6,VSA,0.00
1747,Cozumel,0,6,CZM,0.00
1752,Guatemala City,0,6,GUA,0.00
1757,Belize City,0,6,BZE,0.00
1762,Puerto Vallarta,0,6,NULL,0.00
1767,East London,0,2,NULL,0.00
1772,Ouarzazate,0,1,   ,0.00
1777,Sandakan,0,1,SDK,0.00
1782,Lahad Datu,0,1,LDU,0.00
1787,Glasgow,0,2,GLA,0.00
1792,Manzanillo,0,6,NULL,0.00
1797,Hoedspruit (SA),0,3,HDS,0.00
1802,Krabi,0,1,KBV,0.00
1807,Edinburgh,1,3,EDI,0.00
1812,Bamako,0,1,BKO,0.00
1817,Addis Ababa,0,3,ABB,0.00
1822,Oslo,0,3,OSL,0.00
1827,Port of Spain,0,3,POS,0.00
1842,Leeds/Bradford,1,6,   ,0.00
1847,Surabaya,0,1,SUB,0.00
1852,Balmaceda,0,6,NULL,0.00
1857,New York JFK,0,3,JFK,0.00
1862,Atlanta USA,0,3,ATL,0.00
1867,San Diego,0,3,SAN,0.00
1872,Trujillo,0,6,NULL,0.00
1877,Chiclayo,0,6,NULL,0.00
1882,Kota Kinabalu,0,3,BKI,0.00
1887,San Francisco,0,6,SFO,0.00
1892,Glasgow,0,6,GLA,0.00
1897,Trabazon,0,1,NULL,0.00
1907,La Serena,0,6,NULL,0.00
1912,Guangzhou,0,1,CAN,0.00
1917,Newcastle,1,2,NCL,0.00
1922,Panama,0,6,NULL,0.00
1927,Harstad Narvik,0,3,EVE,0.00
1932,Leeds,1,1,NULL,0.00
1937,Aberdeen,1,3,ABZ,0.00
1942,Barbados,0,3,BGI,0.00
1947,St Lucia Vigie,0,3,NULL,0.00
1952,St Lucia Hewanorra,0,3,NULL,0.00
1957,Havana,0,6,HAV,0.00
1962,Glasgow,1,1,GLA,0.00
1967,Los Angeles,0,3,LAX,0.00
1972,Tongatapu,0,3,NULL,0.00
1977,Kuching,0,3,KCH,0.00
1982,Abu Simbel,0,1,ABS,0.00
1987,Punta del Este,0,6,PDP,0.00
1992,Antigua,0,3,NULL,0.00
1997,Dominica Melville Hall,0,3,NULL,0.00
2002,Heathrow,1,1,LHR,0.00
2007,Seoul,0,1,SEL,0.00
2017,Buenos Aires Int,0,3,EZE,0.00
2022,Buenos Aires (Dom),0,3,NULL,0.00
2027,Ushuaia,0,3,USH,0.00
2032,Semerang,0,3,NULL,0.00
2037,Pangkalan Bun,0,3,NULL,0.00
2042,Dallas,0,3,DFW,0.00
2047,Chongqing,0,1,CKG,0.00
2052,Vienna,0,3,VIE,0.00
2057,Lalibela,0,1,LLI,0.00
2062,Gondar,0,1,GDQ,0.00
2067,Axum,0,1,AXU,0.00
2072,Bahar Dar,0,1,BJR,0.00
2077,Dire Dawa,0,1,DIR,0.00
2082,Moron,0,1,NULL,0.00
2087,Domodedovo,0,1,DME,0.00
2092,Dalanzadgad,0,1,NULL,0.00
